ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1357.15,5589,1699588491,1699588514,161,39,1357.4,1358.35,6,62123,61424,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.45,732614,1699588509,1699588515,9175,1648,193.3,193.45,50,1181395,1665645,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.2,1.1503
2073.0,375638,1699588515,1699588515,69,25,2072.25,2073.0,3,69658,174199,2062.12,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.85,2.7688
2073.0,375638,1699588515,1699588516,69,25,2072.25,2073.0,35,69658,174199,2062.12,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.85,2.7688
193.4,732614,1699588509,1699588516,9175,1648,193.3,193.45,100,1181395,1665645,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
1483.35,518960,1699588515,1699588516,215,894,1483.3,1483.35,2,393557,442915,1482.23,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-3.9,-0.2622
2560.0,17791,1699588515,1699588516,927,30,2560.0,2561.0,2,68802,77471,2565.51,2556.95,2573.75,0,0,2572.0,2585.55,sf,NSE:INDIGO-EQ,-25.55,-0.9882
2073.7,379260,1699588516,1699588517,18,50,2073.7,2073.75,5,69393,170760,2062.23,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,56.55,2.8035
2074.15,379375,1699588517,1699588517,6,223,2074.15,2074.9,12,71447,171089,2062.23,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.0,2.8258
1234.95,53723,1699588514,1699588518,363,9,1234.35,1234.9,56,120289,115287,1232.99,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,18.5,1.5208
1357.15,5589,1699588491,1699588518,161,39,1357.4,1358.35,6,61757,61414,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2074.85,379583,1699588518,1699588519,25,189,2074.7,2074.9,13,72859,171777,2062.24,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.7,2.8605
2074.9,380004,1699588519,1699588519,142,85,2074.7,2074.9,7,71857,171843,2062.25,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.75,2.863
121.8,6073268,1699588520,1699588520,5868,2730,121.75,121.8,2970,1398611,4720880,122.3,121.6,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.5,0.4122
2074.65,380229,1699588520,1699588520,1,85,2074.4,2074.9,13,71672,171993,2062.26,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.5,2.8506
2074.9,380229,1699588520,1699588521,1,85,2074.4,2074.9,1,71672,171993,2062.26,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.75,2.863
2074.8,380243,1699588521,1699588521,5,19,2073.95,2074.8,1,72078,171849,2062.26,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.65,2.858
2074.8,380243,1699588521,1699588522,5,19,2073.95,2074.8,1,72078,171849,2062.26,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,57.65,2.858
1357.15,5589,1699588491,1699588522,163,39,1357.4,1358.35,6,61800,61840,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2074.0,380251,1699588521,1699588523,50,84,2074.0,2074.9,10,72087,171895,2062.26,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,56.85,2.8183
121.85,6077161,1699588523,1699588523,5372,508,121.8,121.85,100,1405917,4726012,122.3,121.6,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.55,0.4534
1357.15,5589,1699588491,1699588524,163,39,1357.4,1358.35,6,61788,61795,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2560.0,18071,1699588524,1699588524,853,23,2560.0,2561.0,2,69021,77930,2565.44,2556.95,2573.75,0,0,2572.0,2585.55,sf,NSE:INDIGO-EQ,-25.55,-0.9882
193.4,737286,1699588520,1699588525,1,1134,193.35,193.4,33,1185604,1668804,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
518.75,93440,1699588519,1699588525,2,1,518.85,518.9,2,182921,167807,518.41,517.8,521.5,0,0,520.45,524.45,sf,NSE:MARICO-EQ,-5.7,-1.0869
1357.15,5589,1699588491,1699588526,163,39,1357.4,1358.35,6,61786,61468,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2076.75,391641,1699588526,1699588526,3,1759,2076.75,2076.8,15,73095,161699,2062.64,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,59.6,2.9547
193.4,741036,1699588524,1699588527,9190,903,193.3,193.4,10,1191014,1669307,192.79,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
121.85,6081187,1699588527,1699588527,6716,10145,121.85,121.95,40,1435077,4730268,122.3,121.6,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.55,0.4534
1357.15,5589,1699588491,1699588528,163,39,1357.4,1358.35,6,61914,61998,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1357.15,5589,1699588491,1699588528,163,39,1357.4,1358.35,6,61826,61779,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2076.15,393363,1699588528,1699588529,27,8,2075.6,2076.75,10,72290,161540,2062.7,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,59.0,2.9249
1234.9,53799,1699588527,1699588529,46,9,1234.45,1234.9,41,122270,116761,1232.99,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,18.45,1.5167
1357.15,5589,1699588491,1699588530,163,39,1357.4,1358.35,6,61830,61925,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2076.1,394882,1699588530,1699588530,420,810,2076.0,2077.0,3,72695,159719,2062.75,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,58.95,2.9224
193.45,743913,1699588528,1699588531,363,9401,193.4,193.5,200,1188387,1657482,192.79,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.2,1.1503
1234.9,53799,1699588527,1699588531,365,9,1234.45,1234.9,41,122539,116779,1232.99,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,18.45,1.5167
1357.4,5596,1699588531,1699588532,175,39,1357.4,1358.35,7,61752,61487,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.2,-1.6092
1234.9,53799,1699588527,1699588532,365,9,1234.45,1234.95,41,122546,116757,1232.99,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,18.45,1.5167
1357.4,5596,1699588531,1699588533,175,39,1357.4,1358.35,7,61715,61777,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.2,-1.6092
2075.4,396763,1699588533,1699588533,9,1,2075.4,2076.15,5,68977,161725,2062.82,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,58.25,2.8877
121.9,6092456,1699588533,1699588534,4126,55114,121.9,122.0,10,1461598,4748924,122.3,121.6,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.6,0.4946
2076.45,396969,1699588534,1699588534,58,22,2075.25,2076.45,10,71017,161070,2062.82,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,59.3,2.9398
2075.45,396969,1699588534,1699588535,58,22,2075.25,2076.45,32,71017,161070,2062.82,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,58.3,2.8902
1483.75,525277,1699588535,1699588535,10,27,1483.6,1483.75,25,394494,440226,1482.25,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-3.5,-0.2353
1234.9,53803,1699588533,1699588535,17,10,1234.5,1234.9,4,122351,116931,1232.99,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,18.45,1.5167
